dataset_id,unit_id,status,role,partial_run,actual_label,pmc_prediction,comparator_prediction,pmc_score,comparator_score,independent_unit,interpretation,claim_boundary
SUSTDATAED2,10_Microwave,EVALUATED_POSITIVE_CONTROL,TRANSITION_POSITIVE_CONTROL_ONLY,False,1,0,,0.27436912,,day_appliance_cluster,Human-corrected appliance transition; not an electrical fault.,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
SUSTDATAED2,11_Stove-Oven,EVALUATED_POSITIVE_CONTROL,TRANSITION_POSITIVE_CONTROL_ONLY,False,1,1,,17.52247,,day_appliance_cluster,Human-corrected appliance transition; not an electrical fault.,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
SUSTDATAED2,12_TV-Philips,EVALUATED_POSITIVE_CONTROL,TRANSITION_POSITIVE_CONTROL_ONLY,False,1,0,,0,,day_appliance_cluster,Human-corrected appliance transition; not an electrical fault.,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
SUSTDATAED2,13_TV-Sharp,EVALUATED_POSITIVE_CONTROL,TRANSITION_POSITIVE_CONTROL_ONLY,False,1,0,,0.022864094,,day_appliance_cluster,Human-corrected appliance transition; not an electrical fault.,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
SUSTDATAED2,14_TV-Grundig,EVALUATED_POSITIVE_CONTROL,TRANSITION_POSITIVE_CONTROL_ONLY,False,1,0,,0.068592281,,day_appliance_cluster,Human-corrected appliance transition; not an electrical fault.,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
SUSTDATAED2,15_TV-Samsung,EVALUATED_POSITIVE_CONTROL,TRANSITION_POSITIVE_CONTROL_ONLY,False,1,0,,0,,day_appliance_cluster,Human-corrected appliance transition; not an electrical fault.,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
SUSTDATAED2,16_TV-LG,EVALUATED_POSITIVE_CONTROL,TRANSITION_POSITIVE_CONTROL_ONLY,False,1,0,,0.0085740351,,day_appliance_cluster,Human-corrected appliance transition; not an electrical fault.,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
SUSTDATAED2,17_Toaster,EVALUATED_POSITIVE_CONTROL,TRANSITION_POSITIVE_CONTROL_ONLY,False,1,0,,0.01714807,,day_appliance_cluster,Human-corrected appliance transition; not an electrical fault.,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
SUSTDATAED2,18_VaccumCleaner,EVALUATED_POSITIVE_CONTROL,TRANSITION_POSITIVE_CONTROL_ONLY,False,1,0,,0,,day_appliance_cluster,Human-corrected appliance transition; not an electrical fault.,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
SUSTDATAED2,1_CoffeeMachine,EVALUATED_POSITIVE_CONTROL,TRANSITION_POSITIVE_CONTROL_ONLY,False,1,1,,3.9783523,,day_appliance_cluster,Human-corrected appliance transition; not an electrical fault.,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
SUSTDATAED2,2_Fridge-Freezer,EVALUATED_POSITIVE_CONTROL,TRANSITION_POSITIVE_CONTROL_ONLY,False,1,0,,0.031438129,,day_appliance_cluster,Human-corrected appliance transition; not an electrical fault.,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
SUSTDATAED2,3_Freezer,EVALUATED_POSITIVE_CONTROL,TRANSITION_POSITIVE_CONTROL_ONLY,False,1,0,,0.05144421,,day_appliance_cluster,Human-corrected appliance transition; not an electrical fault.,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
SUSTDATAED2,4_HandMixer,EVALUATED_POSITIVE_CONTROL,TRANSITION_POSITIVE_CONTROL_ONLY,False,1,0,,0.10574643,,day_appliance_cluster,Human-corrected appliance transition; not an electrical fault.,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
SUSTDATAED2,5_HairDryer-Straightener,EVALUATED_POSITIVE_CONTROL,TRANSITION_POSITIVE_CONTROL_ONLY,False,1,0,,0.64305263,,day_appliance_cluster,Human-corrected appliance transition; not an electrical fault.,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
SUSTDATAED2,6_Kettle,EVALUATED_POSITIVE_CONTROL,TRANSITION_POSITIVE_CONTROL_ONLY,False,1,0,,0.42298573,,day_appliance_cluster,Human-corrected appliance transition; not an electrical fault.,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
SUSTDATAED2,7_MacBook2007,EVALUATED_POSITIVE_CONTROL,TRANSITION_POSITIVE_CONTROL_ONLY,False,1,0,,0.045728187,,day_appliance_cluster,Human-corrected appliance transition; not an electrical fault.,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
SUSTDATAED2,8_MacBookPro2011-1,EVALUATED_POSITIVE_CONTROL,TRANSITION_POSITIVE_CONTROL_ONLY,False,1,0,,0.077166316,,day_appliance_cluster,Human-corrected appliance transition; not an electrical fault.,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
SUSTDATAED2,9_MacBookPro2011-2,EVALUATED_POSITIVE_CONTROL,TRANSITION_POSITIVE_CONTROL_ONLY,False,1,0,,0.01714807,,day_appliance_cluster,Human-corrected appliance transition; not an electrical fault.,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
