dataset,mechanism,status,transfer_conclusion,independent_units,role,claim_boundary
London,PMC-1,PRIMARY_BLOCKED_PROVENANCE,NOT_EVALUATED,0,REAL_DISTRIBUTION_CANDIDATE,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
London,PMC-2,PRIMARY_BLOCKED_PROVENANCE,NOT_EVALUATED,0,REAL_DISTRIBUTION_CANDIDATE,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
London,PMC-3,PRIMARY_BLOCKED_PROVENANCE,NOT_EVALUATED,0,REAL_DISTRIBUTION_CANDIDATE,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
London,PMC-4,PRIMARY_BLOCKED_PROVENANCE,NOT_EVALUATED,0,REAL_DISTRIBUTION_CANDIDATE,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
London,PMC-5,PRIMARY_BLOCKED_PROVENANCE,NOT_EVALUATED,0,REAL_DISTRIBUTION_CANDIDATE,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
CoDEx-VFD,PMC-1,SURROGATE_ONLY,SURROGATE_ONLY_NON_TRANSFERABLE,40,CONTROLLED_INJECTED_DISTURBANCE,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
CoDEx-VFD,PMC-2,NOT_REPLICATED,NOT_REPLICATED_FROZEN_COMPOSITE_0_OF_30_POSITIVE_RUNS_ESCALATED,40,CONTROLLED_INJECTED_DISTURBANCE,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
CoDEx-VFD,PMC-3,NOT_AVAILABLE,NOT_AVAILABLE_TWO_MEASURED_CHANNELS,40,CONTROLLED_INJECTED_DISTURBANCE,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
CoDEx-VFD,PMC-4,NOT_REPLICATED,NOT_REPLICATED_FROZEN_COMPOSITE_0_OF_30_POSITIVE_RUNS_ESCALATED,40,CONTROLLED_INJECTED_DISTURBANCE,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
CoDEx-VFD,PMC-5,NOT_REPLICATED,NOT_REPLICATED_FROZEN_COMPOSITE_0_OF_30_POSITIVE_RUNS_ESCALATED,40,CONTROLLED_INJECTED_DISTURBANCE,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
SustDataED2,PMC-1,INCONCLUSIVE,INCONCLUSIVE_COMPOSITE_2_OF_18_CLUSTERS_ESCALATED,18,TRANSITION_POSITIVE_CONTROL_ONLY,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
SustDataED2,PMC-2,INCONCLUSIVE,INCONCLUSIVE_COMPOSITE_2_OF_18_CLUSTERS_ESCALATED,18,TRANSITION_POSITIVE_CONTROL_ONLY,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
SustDataED2,PMC-3,N/A,N/A_SINGLE_PHASE_AGGREGATE,18,TRANSITION_POSITIVE_CONTROL_ONLY,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
SustDataED2,PMC-4,INCONCLUSIVE,INCONCLUSIVE_COMPOSITE_2_OF_18_CLUSTERS_ESCALATED,18,TRANSITION_POSITIVE_CONTROL_ONLY,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
SustDataED2,PMC-5,INCONCLUSIVE,INCONCLUSIVE_COMPOSITE_2_OF_18_CLUSTERS_ESCALATED,18,TRANSITION_POSITIVE_CONTROL_ONLY,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
